All/192_Left Shoulder Bend_Bend_N23_JCM,0,,Left Shoulder Bend,,,-23,,,
All/193_Left Shoulder Bend_Bend_N6_JCM,0,,Left Shoulder Bend,,,-6,,,
All/194_Left Shoulder Bend_Bend_10_JCM,0,,Left Shoulder Bend,,,10,,,
All/195_Left Shoulder Bend_Bend_26_JCM,0,,Left Shoulder Bend,,,26,,,
All/196_Left Shoulder Bend_Bend_42_JCM,0,,Left Shoulder Bend,,,42,,,
All/197_Left Shoulder Bend_Bend_58_JCM,0,,Left Shoulder Bend,,,58,,,
All/198_Left Shoulder Bend_Bend_74_JCM,0,,Left Shoulder Bend,,,74,,,
All/199_Left Shoulder Twist_Twist_80,0,,Left Shoulder Twist,80,,,,,
All/200_Left Shoulder Twist_Twist_N95,0,,Left Shoulder Twist,-95,,,,,
All/201_Left Shoulder Bend_FrontN110Bend_N40_JCM,0,,Left Shoulder Bend,,-110,-40,,,
All/202_Left Shoulder Bend_FrontN97Bend_N35_JCM,0,,Left Shoulder Bend,,-97,-35,,,
All/203_Left Shoulder Bend_FrontN83Bend_N30_JCM,0,,Left Shoulder Bend,,-83,-30,,,
All/204_Left Shoulder Bend_FrontN69Bend_N25_JCM,0,,Left Shoulder Bend,,-69,-25,,,
All/205_Left Shoulder Bend_FrontN55Bend_N20_JCM,0,,Left Shoulder Bend,,-55,-20,,,
All/206_Left Shoulder Bend_FrontN41Bend_N15_JCM,0,,Left Shoulder Bend,,-41,-15,,,
All/207_Left Shoulder Bend_FrontN27Bend_N10_JCM,0,,Left Shoulder Bend,,-27,-10,,,
All/208_Left Shoulder Bend_FrontN14Bend_N5_JCM,0,,Left Shoulder Bend,,-14,-5,,,
All/209_Left Shoulder Bend_FrontN110Bend_90_JCM,0,,Left Shoulder Bend,,-110,90,,,
All/210_Left Shoulder Bend_FrontN97Bend_79_JCM,0,,Left Shoulder Bend,,-97,79,,,
All/211_Left Shoulder Bend_FrontN83Bend_68_JCM,0,,Left Shoulder Bend,,-83,68,,,
All/212_Left Shoulder Bend_FrontN69Bend_57_JCM,0,,Left Shoulder Bend,,-69,57,,,
All/213_Left Shoulder Bend_FrontN55Bend_45_JCM,0,,Left Shoulder Bend,,-55,45,,,
All/214_Left Shoulder Bend_FrontN41Bend_34_JCM,0,,Left Shoulder Bend,,-41,34,,,
All/215_Left Shoulder Bend_FrontN27Bend_23_JCM,0,,Left Shoulder Bend,,-27,23,,,
All/216_Left Shoulder Bend_FrontN14Bend_11_JCM,0,,Left Shoulder Bend,,-14,11,,,
All/217_Left Forearm Bend_Bend_20_JCM,0,,Left Forearm Bend,,20,,,,
All/218_Left Forearm Bend_Bend_N75_JCM,0,,Left Forearm Bend,,-75,,,,
All/219_Left Forearm Bend_Bend_N135_JCM,0,,Left Forearm Bend,,-135,,,,
All/220_Left Forearm Bend_Bend_N115_JCM,0,,Left Forearm Bend,,-115,,,,
All/221_Left Forearm Bend_Bend_N95_JCM,0,,Left Forearm Bend,,-95,,,,
All/222_Left Forearm Bend_Bend_N56_JCM,0,,Left Forearm Bend,,-56,,,,
All/223_Left Forearm Bend_Bend_N37_JCM,0,,Left Forearm Bend,,-37,,,,
All/224_Left Forearm Bend_Bend_N18_JCM,0,,Left Forearm Bend,,-18,,,,
All/225_Left Forearm Bend_Bend_1,0,,Left Forearm Bend,,1,,,,
All/226_Left Forearm Twist_Twist_80,0,,Left Forearm Twist,80,,,,,
All/227_Left Forearm Twist_Twist_N90,0,,Left Forearm Twist,-90,,,,,
,0,,Left Forearm Bend,,-110,,,,
All/228_Left Forearm Twist_Twist_N90_JCM,,,Left Forearm Twist,-90,,,,,
All/229_Left Hand_Twist_10,0,,Left Hand,10,,,,,
All/230_Left Hand_Twist_N10,0,,Left Hand,-10,,,,,
All/231_Left Hand_Side_30,0,,Left Hand,,30,,,,
All/232_Left Hand_Side_N28,0,,Left Hand,,-28,,,,
All/233_Left Hand_Bend_80_JCM,0,,Left Hand,,,80,,,
All/234_Left Hand_Bend_N70_JCM,0,,Left Hand,,,-70,,,
All/235_Left Hand_Bend_N51_JCM,0,,Left Hand,,,-51,,,
All/236_Left Hand_Bend_N32_JCM,0,,Left Hand,,,-32,,,
All/237_Left Hand_Bend_N13_JCM,0,,Left Hand,,,-13,,,
All/238_Left Hand_Bend_6_JCM,0,,Left Hand,,,6,,,
All/239_Left Hand_Bend_25_JCM,0,,Left Hand,,,25,,,
All/240_Left Hand_Bend_44_JCM,0,,Left Hand,,,44,,,
All/241_Left Hand_Bend_62_JCM,0,,Left Hand,,,62,,,
All/242_Left Thumb 1_Twist_36,0,,Left Thumb 1,36,,,,,
All/243_Left Thumb 1_Twist_N15,0,,Left Thumb 1,-15,,,,,
All/244_Left Thumb 1_Bend_40,0,,Left Thumb 1,,40,,,,
All/245_Left Thumb 1_Bend_50_JCM,0,,Left Thumb 1,,50,,,,
All/246_Left Thumb 1_Bend_N26,0,,Left Thumb 1,,-26,,,,
All/247_Left Thumb 1_UpDown_20_JCM,0,,Left Thumb 1,,,20,,,
All/248_Left Thumb 1_UpDown_N20,0,,Left Thumb 1,,,-20,,,
All/249_Left Thumb 2_Bend_65_JCM,0,,Left Thumb 2,,65,,,,
All/250_Left Thumb 2_Bend_N15,0,,Left Thumb 2,,-15,,,,
All/251_Left Thumb 3_Bend_90_JCM,0,,Left Thumb 3,,90,,,,
All/252_Left Thumb 3_Bend_77_JCM,0,,Left Thumb 3,,77,,,,
All/253_Left Thumb 3_Bend_64_JCM,0,,Left Thumb 3,,64,,,,
All/254_Left Thumb 3_Bend_50_JCM,0,,Left Thumb 3,,50,,,,
All/255_Left Thumb 3_Bend_36_JCM,0,,Left Thumb 3,,36,,,,
All/256_Left Thumb 3_Bend_22_JCM,0,,Left Thumb 3,,22,,,,
All/257_Left Thumb 3_Bend_8_JCM,0,,Left Thumb 3,,8,,,,
All/258_Left Thumb 3_Bend_N6,0,,Left Thumb 3,,-6,,,,
All/259_Left Thumb 3_Bend_N20,0,,Left Thumb 3,,-20,,,,
All/260_Left Carpal 1_Side_4,0,,Left Carpal 1,,4,,,,
All/261_Left Carpal 1_Side_N3,0,,Left Carpal 1,,-3,,,,
All/262_Left Carpal 1_Bend_4,0,,Left Carpal 1,,,4,,,
All/263_Left Carpal 1_Bend_N4,0,,Left Carpal 1,,,-4,,,
All/264_Left Index 1_Twist_5,0,,Left Index 1,5,,,,,
All/265_Left Index 1_Twist_N5,0,,Left Index 1,-5,,,,,
All/266_Left Index 1_Side_12,0,,Left Index 1,,12,,,,
All/267_Left Index 1_Side_N18,0,,Left Index 1,,-18,,,,
All/268_Left Index 1_Bend_50,0,,Left Index 1,,,50,,,
All/269_Left Index 1_Bend_N90_JCM,0,,Left Index 1,,,-90,,,
All/270_Left Index 1_Bend_N72_JCM,0,,Left Index 1,,,-72,,,
All/271_Left Index 1_Bend_N54_JCM,0,,Left Index 1,,,-54,,,
All/272_Left Index 1_Bend_N36_JCM,0,,Left Index 1,,,-36,,,
All/273_Left Index 1_Bend_N18_JCM,0,,Left Index 1,,,-18,,,
All/274_Left Index 1_Bend_N1_JCM,0,,Left Index 1,,,-1,,,
